run_id,condition_1,condition_2,condition_3,condition_4,condition_5
16,"(750.0, 2.5, 0.01, 10, 50.0)","(700.0, 2.0, 0.005, 8, 60.0)","(680.0, 1.8, 0.02, 6, 70.0)","(650.0, 1.5, 0.1, 5, 80.0)","(630.0, 1.2, 0.03, 4, 90.0)"
17,"(700.0, 3.0, 0.005, 10, 100.0)","(650.0, 2.5, 0.008, 8, 90.0)","(600.0, 2.0, 0.01, 6, 80.0)","(550.0, 1.8, 0.015, 4, 70.0)","(500.0, 1.5, 0.02, 2, 60.0)"
18,"(700.0, 2.0, 0.05, 5, 30.0)","(680.0, 1.8, 0.04, 4, 35.0)","(660.0, 1.5, 0.03, 3, 40.0)","(640.0, 1.3, 0.02, 2, 45.0)","(620.0, 1.0, 0.01, 1, 50.0)"
19,"(850.0, 4.5, 0.005, 8, 200.0)","(800.0, 4.0, 0.01, 6, 180.0)","(750.0, 3.5, 0.02, 5, 160.0)","(700.0, 3.0, 0.03, 4, 140.0)","(650.0, 2.5, 0.04, 3, 120.0)"
20,"(700.0, 1.5, 0.0003, 5, 40.0)","(720.0, 1.8, 0.0005, 5, 50.0)","(680.0, 1.6, 0.0002, 6, 45.0)","(710.0, 1.7, 0.0004, 4, 55.0)","(690.0, 1.9, 0.001, 5, 60.0)"
21,"(850.0, 2.5, 0.001, 5, 50.0)","(800.0, 2.0, 0.002, 4, 60.0)","(750.0, 1.5, 0.003, 3, 70.0)","(700.0, 1.0, 0.004, 2, 80.0)","(650.0, 0.5, 0.005, 1, 90.0)"
22,"(700.0, 2.0, 0.01, 5, 50.0)","(680.0, 1.8, 0.015, 4, 60.0)","(650.0, 1.5, 0.02, 3, 70.0)","(630.0, 1.3, 0.025, 2, 80.0)","(600.0, 1.0, 0.03, 1, 90.0)"
23,"(800.0, 3.0, 0.001, 10, 50.0)","(750.0, 2.5, 0.002, 8, 60.0)","(700.0, 2.0, 0.003, 6, 70.0)","(650.0, 1.5, 0.004, 4, 80.0)","(600.0, 1.0, 0.005, 2, 90.0)"
24,"(850.0, 2.5, 0.001, 10, 200.0)","(800.0, 2.0, 0.002, 8, 150.0)","(750.0, 1.8, 0.003, 6, 120.0)","(700.0, 1.5, 0.004, 4, 100.0)","(650.0, 1.0, 0.005, 2, 80.0)"
25,"(750.0, 3.5, 0.005, 5, 50.0)","(700.0, 3.0, 0.006, 4, 60.0)","(650.0, 2.5, 0.007, 3, 70.0)","(600.0, 2.0, 0.008, 2, 80.0)","(550.0, 1.5, 0.009, 1, 90.0)"
26,"(750.0, 2.5, 0.001, 10, 50.0)","(700.0, 2.8, 0.005, 8, 100.0)","(650.0, 3.0, 0.01, 6, 150.0)","(600.0, 3.5, 0.02, 4, 200.0)","(550.0, 4.0, 0.05, 2, 250.0)"
27,"(700.0, 2.5, 0.005, 10, 30.0)","(680.0, 2.3, 0.0055, 9, 35.0)","(660.0, 2.2, 0.006, 8, 40.0)","(640.0, 2.0, 0.0065, 7, 45.0)","(620.0, 1.8, 0.007, 6, 50.0)"
28,"(800.0, 3.0, 0.001, 10, 100.0)","(780.0, 2.8, 0.002, 8, 120.0)","(760.0, 2.5, 0.003, 6, 140.0)","(740.0, 2.2, 0.004, 4, 160.0)","(720.0, 2.0, 0.005, 2, 180.0)"
29,"(750.0, 3.0, 0.02, 10, 50.0)","(700.0, 2.5, 0.015, 8, 60.0)","(650.0, 2.0, 0.01, 6, 70.0)","(600.0, 1.5, 0.0075, 4, 80.0)","(550.0, 1.0, 0.005, 2, 90.0)"
30,"(750.0, 2.0, 0.01, 5, 50.0)","(700.0, 2.5, 0.015, 4, 60.0)","(650.0, 3.0, 0.02, 3, 70.0)","(600.0, 3.5, 0.025, 2, 80.0)","(550.0, 4.0, 0.03, 1, 90.0)"
31,"(850.0, 2.5, 0.002, 10, 150.0)","(800.0, 2.0, 0.0015, 10, 140.0)","(750.0, 1.5, 0.001, 8, 130.0)","(700.0, 1.0, 0.0008, 6, 120.0)","(650.0, 0.8, 0.0006, 4, 110.0)"
32,"(700.0, 2.0, 0.002, 5, 100.0)","(680.0, 1.8, 0.003, 4, 110.0)","(660.0, 1.6, 0.004, 3, 120.0)","(640.0, 1.4, 0.005, 2, 130.0)","(620.0, 1.2, 0.006, 1, 140.0)"
33,"(750.0, 2.0, 0.001, 5, 50.0)","(720.0, 2.5, 0.002, 4, 60.0)","(690.0, 3.0, 0.003, 3, 70.0)","(660.0, 3.5, 0.004, 2, 80.0)","(630.0, 4.0, 0.005, 1, 90.0)"
34,"(800.0, 3.0, 0.0001, 10, 100.0)","(750.0, 2.5, 5e-05, 8, 90.0)","(700.0, 2.0, 0.001, 6, 80.0)","(650.0, 1.8, 0.002, 5, 70.0)","(600.0, 1.5, 0.003, 4, 60.0)"
35,"(850.0, 3.0, 0.001, 10, 50.0)","(800.0, 2.5, 0.0015, 8, 60.0)","(750.0, 2.0, 0.002, 6, 70.0)","(700.0, 1.8, 0.0025, 4, 80.0)","(650.0, 1.5, 0.003, 2, 90.0)"
36,"(750.0, 2.0, 0.01, 5, 50.0)","(725.0, 1.8, 0.012, 4, 60.0)","(700.0, 1.6, 0.014, 3, 70.0)","(675.0, 1.4, 0.016, 2, 80.0)","(650.0, 1.2, 0.018, 1, 90.0)"
37,"(750.0, 1.0, 0.0001, 5, 10.0)","(700.0, 1.2, 0.0002, 5, 10.5)","(680.0, 1.5, 0.0003, 3, 11.0)","(660.0, 1.8, 0.0004, 3, 11.5)","(650.0, 2.0, 0.0005, 2, 12.0)"
38,"(750.0, 2.5, 0.0005, 10, 30.0)","(700.0, 2.0, 0.0006, 9, 35.0)","(650.0, 1.8, 0.0007, 8, 40.0)","(600.0, 1.6, 0.0008, 7, 45.0)","(550.0, 1.4, 0.0009, 6, 50.0)"
39,"(700.0, 2.0, 0.01, 5, 50.0)","(650.0, 1.8, 0.02, 4, 60.0)","(600.0, 1.5, 0.03, 3, 70.0)","(550.0, 1.3, 0.04, 2, 80.0)","(500.0, 1.0, 0.05, 1, 90.0)"
40,"(750.0, 1.8, 0.001, 10, 50.0)","(720.0, 1.6, 0.002, 8, 60.0)","(700.0, 1.5, 0.003, 6, 70.0)","(680.0, 1.4, 0.004, 4, 80.0)","(650.0, 1.3, 0.005, 2, 90.0)"
41,"(750.0, 3.0, 0.001, 5, 50.0)","(700.0, 2.5, 0.0015, 6, 60.0)","(650.0, 2.0, 0.002, 7, 70.0)","(600.0, 1.5, 0.0025, 8, 80.0)","(550.0, 1.0, 0.003, 9, 90.0)"
42,"(800.0, 2.5, 0.001, 10, 50.0)","(750.0, 2.0, 0.002, 8, 60.0)","(700.0, 1.8, 0.003, 6, 70.0)","(650.0, 1.5, 0.004, 5, 80.0)","(600.0, 1.2, 0.005, 4, 90.0)"
43,"(750.0, 2.5, 0.01, 5, 100.0)","(730.0, 2.0, 0.015, 5, 120.0)","(710.0, 1.8, 0.02, 4, 140.0)","(690.0, 1.6, 0.025, 4, 160.0)","(670.0, 1.5, 0.03, 3, 180.0)"
44,"(700.0, 1.5, 0.001, 10, 50.0)","(750.0, 2.0, 0.002, 12, 60.0)","(800.0, 2.5, 0.003, 8, 70.0)","(850.0, 3.0, 0.004, 6, 80.0)","(900.0, 4.0, 0.005, 4, 90.0)"
45,"(750.0, 1.8, 0.0001, 5, 50.0)","(700.0, 2.5, 0.0002, 4, 60.0)","(650.0, 1.8, 0.0003, 3, 70.0)","(600.0, 1.5, 0.0004, 2, 80.0)","(550.0, 1.0, 0.0005, 1, 90.0)"
46,"(700.0, 2.0, 0.001, 5, 50.0)","(680.0, 1.8, 0.0005, 6, 60.0)","(660.0, 1.6, 0.002, 7, 70.0)","(640.0, 1.4, 0.005, 8, 80.0)","(620.0, 1.2, 0.008, 9, 90.0)"
47,"(800.0, 2.0, 0.001, 5, 100.0)","(780.0, 1.8, 0.002, 4, 110.0)","(760.0, 1.6, 0.003, 3, 120.0)","(740.0, 1.4, 0.004, 2, 130.0)","(720.0, 1.2, 0.005, 1, 140.0)"
48,"(750.0, 2.5, 0.01, 10, 50.0)","(700.0, 2.0, 0.01, 8, 60.0)","(650.0, 1.8, 0.01, 6, 70.0)","(600.0, 1.5, 0.01, 4, 80.0)","(550.0, 1.2, 0.01, 2, 90.0)"
49,"(750.0, 3.0, 0.005, 10, 100.0)","(720.0, 3.5, 0.004, 9, 90.0)","(700.0, 4.0, 0.003, 8, 80.0)","(680.0, 4.5, 0.002, 7, 70.0)","(650.0, 5.0, 0.001, 6, 60.0)"
50,"(750.0, 2.5, 0.005, 10, 100.0)","(700.0, 2.0, 0.003, 8, 120.0)","(650.0, 1.8, 0.002, 6, 150.0)","(600.0, 1.5, 0.001, 4, 180.0)","(550.0, 1.0, 0.0005, 2, 200.0)"
52,"(700.0, 2.5, 0.003, 10, 80.0)","(680.0, 2.8, 0.003, 8, 75.0)","(650.0, 3.0, 0.002, 6, 70.0)","(620.0, 2.7, 0.001, 5, 65.0)","(580.0, 1.5, 0.0015, 1, 50.0)"
53,"(700.0, 2.5, 0.002, 10, 50.0)","(650.0, 2.0, 0.003, 8, 60.0)","(600.0, 1.5, 0.004, 6, 70.0)","(550.0, 1.3, 0.005, 4, 80.0)","(500.0, 1.0, 0.006, 2, 90.0)"
54,"(700.0, 2.0, 0.02, 5, 50.0)","(680.0, 1.8, 0.015, 4, 60.0)","(650.0, 1.5, 0.01, 3, 70.0)","(620.0, 1.2, 0.008, 2, 80.0)","(600.0, 1.0, 0.006, 1, 90.0)"
55,"(750.0, 2.5, 0.001, 7, 50.0)","(700.0, 2.2, 0.0015, 6, 60.0)","(650.0, 2.0, 0.002, 5, 70.0)","(600.0, 1.8, 0.0025, 4, 80.0)","(550.0, 1.5, 0.003, 3, 90.0)"
56,"(800.0, 3.0, 0.005, 10, 100.0)","(780.0, 2.8, 0.006, 9, 120.0)","(760.0, 2.6, 0.007, 8, 140.0)","(740.0, 2.4, 0.008, 7, 160.0)","(720.0, 2.2, 0.009, 6, 180.0)"
57,"(700.0, 2.0, 0.001, 5, 50.0)","(650.0, 1.8, 0.002, 4, 60.0)","(600.0, 1.5, 0.003, 3, 70.0)","(550.0, 1.3, 0.004, 2, 80.0)","(500.0, 1.0, 0.005, 1, 90.0)"
58,"(800.0, 2.0, 0.0001, 10, 100.0)","(750.0, 1.8, 0.0002, 8, 120.0)","(700.0, 1.5, 0.0003, 6, 140.0)","(650.0, 1.3, 0.0004, 4, 160.0)","(600.0, 1.0, 0.0005, 2, 180.0)"
59,"(800.0, 3.0, 0.05, 10, 150.0)","(750.0, 2.5, 0.04, 8, 200.0)","(700.0, 2.0, 0.03, 6, 250.0)","(650.0, 1.5, 0.02, 5, 300.0)","(600.0, 1.0, 0.01, 4, 350.0)"
60,"(850.0, 3.0, 0.01, 10, 100.0)","(800.0, 2.5, 0.02, 8, 150.0)","(750.0, 2.0, 0.03, 6, 200.0)","(700.0, 1.5, 0.04, 4, 250.0)","(650.0, 1.0, 0.05, 2, 300.0)"
61,"(750.0, 1.5, 0.001, 10, 50.0)","(700.0, 1.8, 0.0015, 8, 60.0)","(650.0, 2.0, 0.002, 6, 70.0)","(600.0, 2.5, 0.0025, 4, 80.0)","(550.0, 3.0, 0.003, 2, 90.0)"
62,"(750.0, 2.0, 0.05, 10, 200.0)","(700.0, 1.8, 0.04, 8, 180.0)","(650.0, 1.5, 0.03, 6, 160.0)","(600.0, 1.0, 0.02, 4, 140.0)","(550.0, 0.8, 0.01, 2, 120.0)"
64,"(700.0, 2.5, 0.01, 10, 200.0)","(680.0, 2.2, 0.012, 9, 180.0)","(660.0, 2.0, 0.014, 8, 160.0)","(640.0, 1.8, 0.016, 7, 140.0)","(620.0, 1.6, 0.018, 6, 120.0)"
65,"(750.0, 2.5, 0.0005, 10, 100.0)","(700.0, 2.0, 0.001, 8, 90.0)","(650.0, 1.8, 0.002, 6, 80.0)","(600.0, 1.5, 0.003, 4, 70.0)","(550.0, 1.0, 0.004, 2, 60.0)"
66,"(800.0, 3.0, 0.005, 10, 50.0)","(780.0, 2.5, 0.006, 9, 55.0)","(760.0, 2.0, 0.007, 8, 60.0)","(740.0, 1.8, 0.008, 7, 65.0)","(720.0, 1.5, 0.009, 6, 70.0)"
67,"(850.0, 4.0, 0.001, 10, 200.0)","(800.0, 3.8, 0.0015, 5, 250.0)","(750.0, 3.5, 0.002, 5, 220.0)","(700.0, 3.2, 0.0025, 5, 200.0)","(650.0, 3.0, 0.003, 8, 180.0)"
68,"(750.0, 2.5, 0.1, 10, 30.0)","(730.0, 2.3, 0.12, 8, 35.0)","(710.0, 2.0, 0.15, 6, 40.0)","(690.0, 1.8, 0.18, 4, 45.0)","(670.0, 1.5, 0.2, 2, 50.0)"
69,"(700.0, 1.8, 0.01, 5, 50.0)","(680.0, 1.7, 0.015, 4, 55.0)","(660.0, 1.6, 0.02, 3, 60.0)","(640.0, 1.5, 0.025, 2, 65.0)","(620.0, 1.4, 0.03, 1, 70.0)"
70,"(700.0, 2.5, 0.01, 10, 100.0)","(650.0, 2.0, 0.015, 7, 90.0)","(600.0, 1.8, 0.02, 5, 80.0)","(550.0, 1.5, 0.025, 3, 70.0)","(500.0, 1.0, 0.03, 1, 60.0)"
71,"(750.0, 2.5, 0.005, 5, 50.0)","(700.0, 2.3, 0.006, 4, 60.0)","(650.0, 2.0, 0.007, 3, 70.0)","(600.0, 1.8, 0.008, 2, 80.0)","(550.0, 1.5, 0.009, 1, 90.0)"
72,"(800.0, 2.5, 0.001, 5, 100.0)","(750.0, 2.0, 0.002, 4, 90.0)","(700.0, 1.8, 0.003, 3, 80.0)","(650.0, 1.5, 0.004, 2, 70.0)","(600.0, 1.2, 0.005, 1, 60.0)"
73,"(750.0, 3.0, 0.001, 5, 40.0)","(720.0, 2.8, 0.0015, 6, 50.0)","(690.0, 2.5, 0.002, 7, 60.0)","(660.0, 2.2, 0.0025, 8, 70.0)","(630.0, 2.0, 0.003, 9, 80.0)"
74,"(750.0, 2.0, 0.001, 5, 50.0)","(700.0, 1.8, 0.002, 4, 60.0)","(650.0, 1.5, 0.003, 3, 70.0)","(600.0, 1.3, 0.004, 2, 80.0)","(550.0, 1.0, 0.005, 1, 90.0)"
75,"(750.0, 2.0, 0.01, 5, 50.0)","(800.0, 2.5, 0.02, 6, 60.0)","(700.0, 2.2, 0.03, 4, 70.0)","(650.0, 1.8, 0.04, 3, 80.0)","(600.0, 1.5, 0.05, 2, 90.0)"
76,"(700.0, 1.5, 0.005, 3, 30.0)","(680.0, 1.4, 0.006, 4, 40.0)","(650.0, 1.3, 0.007, 5, 50.0)","(620.0, 1.2, 0.008, 6, 60.0)","(600.0, 1.0, 0.009, 7, 70.0)"
77,"(850.0, 3.0, 0.0001, 10, 100.0)","(800.0, 2.8, 0.0002, 9, 95.0)","(750.0, 2.5, 0.0003, 8, 90.0)","(700.0, 2.0, 0.0004, 7, 85.0)","(650.0, 1.5, 0.0005, 6, 80.0)"
78,"(750.0, 2.5, 0.05, 10, 100.0)","(700.0, 2.2, 0.04, 10, 95.0)","(650.0, 2.0, 0.03, 10, 85.0)","(600.0, 1.8, 0.02, 10, 80.0)","(550.0, 1.5, 0.01, 10, 75.0)"
79,"(850.0, 3.0, 0.001, 10, 50.0)","(800.0, 2.5, 0.0015, 8, 60.0)","(750.0, 2.0, 0.002, 6, 70.0)","(700.0, 1.8, 0.0025, 4, 80.0)","(650.0, 1.5, 0.003, 3, 90.0)"
80,"(850.0, 3.5, 0.005, 10, 120.0)","(800.0, 3.0, 0.004, 8, 110.0)","(750.0, 2.8, 0.003, 6, 100.0)","(700.0, 2.5, 0.002, 4, 90.0)","(650.0, 2.0, 0.001, 2, 80.0)"
81,"(700.0, 2.5, 0.005, 10, 100.0)","(650.0, 2.0, 0.008, 12, 80.0)","(600.0, 1.8, 0.01, 15, 60.0)","(550.0, 1.5, 0.012, 12, 50.0)","(500.0, 1.0, 0.015, 10, 40.0)"
82,"(700.0, 1.5, 0.005, 5, 50.0)","(680.0, 1.8, 0.004, 4, 60.0)","(660.0, 2.0, 0.003, 3, 70.0)","(640.0, 2.2, 0.002, 2, 80.0)","(620.0, 2.5, 0.001, 1, 90.0)"
83,"(800.0, 3.0, 0.001, 10, 100.0)","(750.0, 2.5, 0.005, 8, 120.0)","(700.0, 2.0, 0.01, 6, 140.0)","(650.0, 1.5, 0.02, 4, 160.0)","(600.0, 1.0, 0.03, 2, 180.0)"
84,"(750.0, 3.0, 0.001, 10, 50.0)","(700.0, 2.8, 0.002, 8, 60.0)","(650.0, 2.5, 0.003, 6, 70.0)","(600.0, 2.2, 0.004, 4, 80.0)","(550.0, 2.0, 0.005, 2, 90.0)"
85,"(750.0, 2.5, 0.001, 10, 100.0)","(720.0, 2.3, 0.002, 9, 95.0)","(690.0, 2.0, 0.003, 8, 90.0)","(660.0, 1.8, 0.004, 7, 85.0)","(630.0, 1.5, 0.005, 6, 80.0)"
86,"(750.0, 2.0, 0.05, 10, 100.0)","(730.0, 1.8, 0.04, 8, 90.0)","(710.0, 1.6, 0.03, 6, 80.0)","(690.0, 1.4, 0.02, 4, 70.0)","(670.0, 1.2, 0.01, 2, 60.0)"
87,"(800.0, 3.0, 0.005, 10, 100.0)","(750.0, 2.8, 0.006, 9, 90.0)","(700.0, 2.5, 0.007, 8, 80.0)","(650.0, 2.2, 0.008, 7, 70.0)","(600.0, 2.0, 0.009, 6, 60.0)"
88,"(800.0, 2.0, 0.005, 10, 50.0)","(780.0, 1.8, 0.006, 9, 55.0)","(760.0, 1.6, 0.007, 8, 60.0)","(740.0, 1.4, 0.008, 7, 65.0)","(720.0, 1.2, 0.009, 6, 70.0)"
89,"(700.0, 2.5, 0.005, 10, 100.0)","(650.0, 2.0, 0.004, 8, 80.0)","(600.0, 1.8, 0.003, 6, 60.0)","(550.0, 1.5, 0.002, 4, 40.0)","(500.0, 1.2, 0.001, 2, 20.0)"
90,"(700.0, 3.0, 0.002, 10, 80.0)","(680.0, 2.8, 0.003, 8, 70.0)","(650.0, 2.5, 0.004, 6, 60.0)","(620.0, 2.2, 0.005, 4, 50.0)","(600.0, 2.0, 0.006, 2, 40.0)"
91,"(800.0, 3.0, 0.001, 10, 200.0)","(780.0, 2.5, 0.0005, 8, 180.0)","(760.0, 2.0, 0.001, 6, 160.0)","(740.0, 1.8, 0.002, 4, 140.0)","(720.0, 1.5, 0.003, 2, 120.0)"
92,"(750.0, 2.0, 0.01, 10, 50.0)","(700.0, 1.8, 0.02, 9, 60.0)","(650.0, 1.6, 0.03, 8, 70.0)","(600.0, 1.4, 0.04, 7, 80.0)","(550.0, 1.2, 0.05, 6, 90.0)"
93,"(800.0, 3.0, 0.05, 10, 200.0)","(750.0, 2.8, 0.06, 8, 180.0)","(700.0, 2.5, 0.07, 6, 160.0)","(650.0, 2.3, 0.08, 5, 140.0)","(600.0, 2.0, 0.09, 4, 120.0)"
94,"(850.0, 3.0, 0.005, 15, 100.0)","(800.0, 2.8, 0.003, 12, 95.0)","(750.0, 2.5, 0.002, 10, 90.0)","(700.0, 2.0, 0.001, 8, 85.0)","(650.0, 1.5, 0.0005, 5, 80.0)"
95,"(700.0, 1.0, 0.001, 5, 50.0)","(680.0, 1.2, 0.001, 5, 60.0)","(660.0, 1.4, 0.01, 6, 70.0)","(640.0, 1.6, 0.1, 7, 80.0)","(620.0, 1.8, 1.0, 8, 90.0)"
96,"(800.0, 2.5, 0.001, 10, 100.0)","(750.0, 2.0, 0.0015, 10, 120.0)","(700.0, 1.8, 0.01, 5, 150.0)","(650.0, 1.5, 0.015, 3, 200.0)","(600.0, 1.0, 0.02, 2, 300.0)"
97,"(850.0, 3.5, 0.005, 10, 100.0)","(800.0, 3.0, 0.003, 8, 90.0)","(750.0, 2.5, 0.002, 6, 80.0)","(700.0, 2.0, 0.001, 5, 70.0)","(650.0, 1.5, 0.0005, 4, 60.0)"
98,"(800.0, 2.0, 0.01, 5, 50.0)","(750.0, 1.8, 0.02, 4, 60.0)","(700.0, 1.5, 0.03, 3, 70.0)","(650.0, 1.3, 0.04, 2, 80.0)","(600.0, 1.0, 0.05, 1, 90.0)"
99,"(800.0, 3.0, 0.005, 10, 100.0)","(780.0, 2.8, 0.006, 9, 90.0)","(760.0, 2.6, 0.007, 8, 80.0)","(740.0, 2.4, 0.008, 7, 70.0)","(720.0, 2.2, 0.009, 6, 60.0)"
100,"(750.0, 3.5, 0.01, 10, 50.0)","(720.0, 3.0, 0.012, 9, 55.0)","(690.0, 2.5, 0.014, 8, 60.0)","(660.0, 2.0, 0.016, 7, 65.0)","(630.0, 1.5, 0.018, 6, 70.0)"
101,"(800.0, 2.5, 0.0005, 10, 100.0)","(750.0, 2.0, 0.001, 8, 120.0)","(700.0, 1.8, 0.002, 7, 140.0)","(650.0, 1.5, 0.003, 5, 160.0)","(600.0, 1.3, 0.004, 4, 180.0)"
102,"(750.0, 2.5, 0.01, 5, 50.0)","(720.0, 2.3, 0.015, 4, 60.0)","(690.0, 2.0, 0.02, 3, 70.0)","(660.0, 1.8, 0.025, 2, 80.0)","(630.0, 1.5, 0.03, 1, 90.0)"
103,"(750.0, 2.5, 0.005, 10, 100.0)","(700.0, 2.3, 0.006, 8, 120.0)","(650.0, 2.1, 0.007, 6, 140.0)","(600.0, 1.9, 0.008, 4, 160.0)","(550.0, 1.7, 0.009, 2, 180.0)"
104,"(700.0, 2.5, 0.01, 10, 100.0)","(680.0, 2.3, 0.008, 12, 120.0)","(660.0, 2.0, 0.007, 14, 140.0)","(640.0, 1.8, 0.006, 15, 160.0)","(620.0, 1.5, 0.005, 13, 180.0)"
105,"(700.0, 2.0, 0.01, 10, 100.0)","(650.0, 1.8, 0.02, 8, 120.0)","(600.0, 1.6, 0.03, 6, 140.0)","(550.0, 1.4, 0.04, 4, 160.0)","(500.0, 1.2, 0.05, 2, 180.0)"
106,"(800.0, 2.0, 0.01, 5, 50.0)","(780.0, 1.9, 0.015, 4, 60.0)","(750.0, 1.8, 0.02, 3, 70.0)","(720.0, 1.7, 0.025, 2, 80.0)","(700.0, 1.5, 0.03, 1, 90.0)"
107,"(750.0, 2.5, 0.01, 10, 50.0)","(700.0, 2.0, 0.015, 8, 60.0)","(650.0, 1.8, 0.02, 6, 70.0)","(600.0, 1.5, 0.025, 4, 80.0)","(550.0, 1.0, 0.03, 2, 90.0)"
108,"(750.0, 2.5, 0.015, 5, 100.0)","(700.0, 2.0, 0.012, 5, 120.0)","(650.0, 1.8, 0.01, 5, 140.0)","(600.0, 1.5, 0.008, 5, 160.0)","(550.0, 1.2, 0.005, 5, 180.0)"
109,"(850.0, 3.5, 0.01, 10, 100.0)","(800.0, 3.0, 0.015, 9, 90.0)","(750.0, 2.5, 0.02, 8, 80.0)","(700.0, 2.0, 0.025, 7, 70.0)","(650.0, 1.5, 0.03, 6, 60.0)"
110,"(700.0, 2.5, 0.01, 10, 100.0)","(680.0, 2.3, 0.015, 8, 120.0)","(650.0, 2.0, 0.02, 6, 140.0)","(630.0, 1.8, 0.025, 4, 160.0)","(600.0, 1.5, 0.03, 2, 180.0)"
111,"(750.0, 1.5, 0.02, 5, 50.0)","(720.0, 1.7, 0.022, 4, 60.0)","(700.0, 1.3, 0.025, 3, 70.0)","(680.0, 1.0, 0.028, 2, 80.0)","(650.0, 0.8, 0.03, 1, 90.0)"
112,"(750.0, 3.0, 0.001, 5, 100.0)","(725.0, 2.5, 0.002, 4, 90.0)","(700.0, 2.0, 0.003, 3, 80.0)","(675.0, 1.8, 0.004, 2, 70.0)","(650.0, 1.5, 0.005, 1, 60.0)"
114,"(700.0, 1.5, 0.0005, 5, 100.0)","(650.0, 2.0, 0.0003, 10, 150.0)","(600.0, 2.5, 0.0002, 15, 200.0)","(550.0, 3.0, 0.0001, 8, 120.0)","(500.0, 3.5, 0.0004, 4, 180.0)"
115,"(700.0, 2.5, 0.001, 5, 50.0)","(680.0, 2.2, 0.0005, 5, 60.0)","(650.0, 1.8, 0.01, 4, 70.0)","(620.0, 1.5, 0.02, 3, 80.0)","(590.0, 1.0, 0.1, 2, 90.0)"
