run_id,condition_1,condition_2,condition_3,condition_4,condition_5
17,"(500.0, 5.0, 1e-05, 15, 0.5)","(600.0, 0.5, 0.0001, 1, 50.0)","(800.0, 4.0, 0.001, 10, 100.0)","(850.0, 2.5, 0.01, 5, 150.0)","(700.0, 1.5, 0.01, 7, 200.0)"
18,"(500.0, 5.0, 1e-05, 15, 500.0)","(550.0, 4.5, 0.0001, 15, 450.0)","(600.0, 4.0, 0.001, 10, 400.0)","(650.0, 3.5, 0.01, 8, 350.0)","(700.0, 3.0, 0.1, 5, 300.0)"
21,"(900.0, 0.5, 1e-05, 1, 0.5)","(850.0, 1.0, 0.0001, 3, 50.0)","(800.0, 2.0, 0.001, 5, 200.0)","(750.0, 3.0, 0.01, 10, 400.0)","(700.0, 4.0, 0.1, 15, 500.0)"
22,"(500.0, 0.5, 1e-05, 15, 0.5)","(550.0, 1.0, 0.0001, 14, 1.0)","(600.0, 2.0, 0.001, 13, 2.0)","(650.0, 3.0, 0.01, 12, 3.0)","(700.0, 4.0, 0.1, 11, 4.0)"
24,"(500.0, 0.5, 1e-05, 15, 500.0)","(500.0, 1.0, 0.0001, 14, 450.0)","(600.0, 3.0, 0.1, 12, 200.0)","(700.0, 2.5, 0.01, 10, 100.0)","(800.0, 4.0, 0.001, 8, 50.0)"
25,"(500.0, 0.5, 1.0, 15, 500.0)","(600.0, 1.0, 1e-05, 1, 0.5)","(700.0, 5.0, 0.0001, 1, 10.0)","(800.0, 4.5, 0.001, 15, 200.0)","(750.0, 3.0, 0.01, 10, 300.0)"
26,"(850.0, 0.5, 1e-05, 1, 0.5)","(800.0, 0.6, 0.0001, 3, 10.0)","(750.0, 1.0, 0.001, 5, 50.0)","(700.0, 2.0, 0.01, 10, 100.0)","(650.0, 3.5, 0.1, 15, 200.0)"
29,"(500.0, 4.5, 0.1, 15, 5.0)","(600.0, 0.5, 1.0, 1, 200.0)","(700.0, 1.2, 1e-05, 12, 30.0)","(750.0, 3.5, 0.0001, 5, 15.0)","(850.0, 4.0, 0.01, 7, 450.0)"
30,"(500.0, 0.5, 1.0, 15, 0.5)","(500.0, 0.5, 1.0, 15, 50.0)","(500.0, 0.5, 1.0, 15, 200.0)","(500.0, 0.5, 1.0, 15, 450.0)","(500.0, 0.5, 1.0, 15, 500.0)"
31,"(500.0, 0.5, 1e-05, 1, 0.5)","(600.0, 1.0, 0.0001, 2, 50.0)","(700.0, 2.0, 0.001, 3, 100.0)","(800.0, 3.0, 0.01, 4, 200.0)","(900.0, 4.5, 0.1, 5, 450.0)"
32,"(500.0, 0.5, 1e-05, 1, 0.5)","(550.0, 1.0, 0.0001, 2, 20.0)","(600.0, 2.0, 0.001, 5, 100.0)","(700.0, 3.0, 0.01, 10, 250.0)","(800.0, 4.5, 0.1, 15, 500.0)"
34,"(900.0, 5.0, 1.0, 15, 500.0)","(850.0, 4.5, 0.1, 14, 450.0)","(800.0, 4.0, 0.01, 12, 400.0)","(750.0, 3.5, 0.001, 10, 350.0)","(700.0, 3.0, 0.0001, 8, 300.0)"
36,"(900.0, 0.5, 1e-05, 1, 500.0)","(850.0, 1.0, 0.0001, 5, 200.0)","(800.0, 1.5, 0.001, 10, 100.0)","(750.0, 2.0, 0.01, 12, 50.0)","(700.0, 2.5, 0.1, 15, 5.0)"
37,"(500.0, 5.0, 1e-05, 15, 0.5)","(600.0, 0.5, 1.0, 1, 500.0)","(700.0, 3.0, 0.0001, 8, 50.0)","(800.0, 4.5, 0.01, 12, 250.0)","(850.0, 2.0, 0.001, 10, 100.0)"
42,"(500.0, 0.5, 1e-05, 15, 450.0)","(600.0, 1.0, 0.0001, 14, 400.0)","(700.0, 2.0, 0.001, 13, 350.0)","(800.0, 3.0, 0.01, 12, 300.0)","(850.0, 4.0, 0.1, 11, 250.0)"
43,"(900.0, 0.5, 1e-05, 15, 0.5)","(800.0, 1.0, 0.0001, 10, 20.0)","(750.0, 2.0, 0.001, 7, 50.0)","(700.0, 3.0, 0.01, 5, 100.0)","(650.0, 4.0, 0.1, 3, 200.0)"
44,"(500.0, 0.5, 1e-05, 1, 0.5)","(900.0, 5.0, 0.0001, 15, 500.0)","(600.0, 1.0, 0.001, 12, 5.0)","(700.0, 4.5, 0.01, 7, 200.0)","(850.0, 3.5, 0.1, 5, 15.0)"
45,"(500.0, 5.0, 1.0, 1, 500.0)","(500.0, 4.5, 1e-05, 15, 450.0)","(500.0, 0.5, 0.0001, 1, 200.0)","(500.0, 4.0, 0.1, 7, 5.0)","(500.0, 1.2, 0.01, 12, 30.0)"
47,"(500.0, 0.5, 1e-05, 15, 0.5)","(900.0, 1.0, 1.0, 1, 500.0)","(600.0, 2.5, 0.0001, 5, 50.0)","(700.0, 3.5, 0.001, 10, 200.0)","(750.0, 4.0, 0.01, 12, 400.0)"
48,"(900.0, 5.0, 1e-05, 15, 450.0)","(800.0, 4.5, 0.0001, 15, 400.0)","(750.0, 4.0, 0.001, 10, 300.0)","(700.0, 3.5, 0.01, 7, 200.0)","(650.0, 3.0, 0.1, 5, 100.0)"
49,"(500.0, 0.5, 0.0001, 1, 5.0)","(600.0, 1.0, 0.001, 3, 100.0)","(700.0, 2.0, 0.01, 7, 200.0)","(750.0, 3.0, 0.001, 10, 250.0)","(800.0, 4.0, 0.1, 15, 300.0)"
50,"(500.0, 0.5, 1e-05, 1, 0.5)","(500.0, 5.0, 1.0, 15, 500.0)","(900.0, 0.5, 1e-05, 1, 500.0)","(900.0, 5.0, 1.0, 15, 0.5)","(700.0, 2.5, 0.05, 8, 250.0)"
53,"(500.0, 0.5, 1e-05, 1, 500.0)","(600.0, 1.0, 0.0001, 3, 200.0)","(750.0, 3.5, 0.01, 5, 15.0)","(800.0, 4.5, 0.1, 7, 10.0)","(700.0, 1.2, 0.001, 12, 30.0)"
54,"(500.0, 0.5, 1.0, 1, 0.5)","(700.0, 4.5, 1e-05, 15, 500.0)","(800.0, 5.0, 0.1, 1, 200.0)","(850.0, 3.5, 0.0001, 12, 450.0)","(900.0, 1.2, 0.01, 5, 30.0)"
55,"(500.0, 0.5, 1e-05, 1, 0.5)","(600.0, 2.0, 0.0001, 5, 50.0)","(700.0, 3.0, 0.001, 10, 200.0)","(800.0, 4.0, 0.0005, 15, 400.0)","(850.0, 5.0, 0.01, 12, 500.0)"
56,"(500.0, 0.5, 1e-05, 15, 0.5)","(600.0, 1.2, 0.0001, 5, 10.0)","(700.0, 2.0, 0.01, 7, 50.0)","(750.0, 3.5, 0.005, 10, 100.0)","(850.0, 4.0, 0.1, 15, 500.0)"
59,"(500.0, 0.5, 1e-05, 1, 5.0)","(600.0, 1.5, 0.001, 5, 30.0)","(700.0, 3.0, 0.01, 10, 100.0)","(750.0, 2.5, 0.1, 12, 200.0)","(800.0, 4.0, 0.0001, 15, 450.0)"
60,"(500.0, 5.0, 1e-05, 15, 0.5)","(550.0, 4.5, 0.0001, 14, 2.0)","(600.0, 4.0, 0.001, 13, 10.0)","(650.0, 3.5, 0.01, 12, 20.0)","(700.0, 3.0, 0.1, 11, 50.0)"
61,"(500.0, 0.5, 1e-05, 1, 500.0)","(550.0, 4.5, 1.0, 1, 0.5)","(600.0, 0.6, 0.0001, 15, 500.0)","(650.0, 4.0, 0.1, 14, 300.0)","(700.0, 1.2, 0.01, 12, 200.0)"
62,"(500.0, 0.5, 1e-05, 15, 0.5)","(550.0, 1.0, 0.0001, 14, 10.0)","(600.0, 2.0, 0.001, 13, 20.0)","(700.0, 3.0, 0.01, 12, 30.0)","(750.0, 4.0, 0.1, 11, 40.0)"
63,"(500.0, 0.5, 1.0, 1, 0.5)","(600.0, 1.0, 1e-05, 15, 500.0)","(700.0, 2.0, 0.0001, 10, 400.0)","(800.0, 3.0, 0.001, 5, 200.0)","(900.0, 4.0, 0.01, 3, 100.0)"
64,"(850.0, 4.0, 0.1, 12, 500.0)","(800.0, 3.0, 0.01, 8, 300.0)","(750.0, 2.0, 0.001, 6, 200.0)","(700.0, 1.5, 0.001, 10, 100.0)","(650.0, 1.0, 0.0001, 15, 50.0)"
65,"(500.0, 0.5, 1e-05, 1, 0.5)","(600.0, 0.5, 0.0001, 5, 100.0)","(700.0, 2.0, 0.001, 10, 200.0)","(750.0, 2.5, 0.01, 12, 300.0)","(800.0, 3.0, 0.1, 15, 400.0)"
67,"(500.0, 0.5, 1e-05, 1, 0.5)","(550.0, 1.0, 0.0001, 2, 10.0)","(600.0, 2.0, 0.001, 3, 20.0)","(700.0, 3.0, 0.01, 4, 50.0)","(750.0, 4.0, 0.1, 5, 100.0)"
68,"(500.0, 0.5, 1e-05, 1, 0.5)","(900.0, 0.5, 1e-05, 1, 500.0)","(700.0, 1.0, 0.0001, 2, 50.0)","(600.0, 2.0, 0.001, 5, 200.0)","(800.0, 4.0, 0.1, 10, 300.0)"
69,"(500.0, 0.5, 1e-05, 1, 0.5)","(600.0, 1.0, 0.0001, 2, 20.0)","(700.0, 1.5, 0.001, 3, 50.0)","(800.0, 2.0, 0.01, 4, 100.0)","(900.0, 2.5, 0.1, 5, 200.0)"
70,"(500.0, 5.0, 1e-05, 15, 0.5)","(550.0, 4.0, 0.0001, 14, 25.0)","(600.0, 3.0, 0.001, 12, 100.0)","(700.0, 2.5, 0.01, 10, 200.0)","(750.0, 1.5, 0.1, 8, 350.0)"
72,"(890.0, 0.5, 1e-05, 1, 5.0)","(850.0, 4.5, 0.001, 2, 450.0)","(750.0, 2.0, 0.1, 5, 100.0)","(700.0, 3.5, 0.01, 12, 200.0)","(600.0, 4.0, 0.0001, 15, 400.0)"
74,"(500.0, 0.5, 1e-05, 1, 500.0)","(700.0, 1.0, 0.0001, 2, 400.0)","(750.0, 2.0, 0.001, 3, 300.0)","(800.0, 3.0, 0.01, 4, 200.0)","(850.0, 4.0, 0.1, 5, 100.0)"
75,"(500.0, 0.5, 1e-05, 15, 0.5)","(600.0, 1.0, 0.0001, 14, 5.0)","(700.0, 2.0, 0.001, 13, 10.0)","(800.0, 3.0, 0.01, 12, 50.0)","(900.0, 4.0, 0.1, 11, 100.0)"
76,"(900.0, 0.5, 0.1, 1, 450.0)","(500.0, 5.0, 1e-05, 15, 5.0)","(850.0, 1.0, 1.0, 1, 200.0)","(700.0, 4.5, 0.0001, 12, 30.0)","(750.0, 3.5, 0.01, 5, 15.0)"
80,"(500.0, 0.5, 1e-05, 15, 0.5)","(900.0, 5.0, 1.0, 1, 450.0)","(600.0, 0.5, 0.0001, 1, 200.0)","(850.0, 4.0, 0.1, 7, 5.0)","(750.0, 3.5, 0.0001, 5, 15.0)"
81,"(500.0, 0.5, 1e-05, 1, 500.0)","(550.0, 1.0, 0.0001, 2, 400.0)","(600.0, 2.0, 0.001, 3, 300.0)","(650.0, 3.0, 0.01, 4, 200.0)","(700.0, 4.0, 0.1, 5, 100.0)"
84,"(850.0, 0.5, 1e-05, 15, 500.0)","(800.0, 1.0, 1e-05, 14, 450.0)","(750.0, 2.0, 0.0001, 13, 400.0)","(700.0, 3.0, 0.001, 12, 350.0)","(650.0, 4.0, 0.01, 11, 300.0)"
85,"(500.0, 5.0, 1.0, 15, 500.0)","(550.0, 4.0, 0.1, 12, 300.0)","(650.0, 2.5, 0.001, 10, 200.0)","(700.0, 1.5, 0.01, 7, 100.0)","(750.0, 0.5, 1e-05, 1, 50.0)"
86,"(500.0, 5.0, 1e-05, 15, 500.0)","(550.0, 0.5, 0.0001, 14, 450.0)","(600.0, 4.5, 0.001, 13, 400.0)","(650.0, 4.0, 0.01, 12, 350.0)","(700.0, 3.5, 0.1, 11, 300.0)"
87,"(500.0, 0.5, 1e-05, 15, 0.5)","(550.0, 1.0, 0.0001, 10, 50.0)","(650.0, 2.0, 0.001, 7, 100.0)","(700.0, 3.0, 0.01, 5, 200.0)","(850.0, 4.5, 0.1, 3, 500.0)"
88,"(900.0, 0.5, 0.1, 1, 0.5)","(850.0, 0.6, 1.0, 2, 1.0)","(700.0, 1.5, 0.01, 3, 5.0)","(750.0, 2.5, 0.001, 4, 10.0)","(800.0, 3.0, 0.0001, 5, 20.0)"
89,"(500.0, 0.5, 1e-05, 1, 500.0)","(600.0, 1.5, 0.0001, 3, 400.0)","(700.0, 2.5, 0.001, 5, 300.0)","(800.0, 3.5, 0.01, 7, 200.0)","(900.0, 4.5, 0.1, 9, 100.0)"
90,"(500.0, 5.0, 1e-05, 15, 5.0)","(600.0, 0.5, 0.0001, 1, 20.0)","(700.0, 1.2, 0.01, 12, 30.0)","(750.0, 3.5, 0.0001, 5, 150.0)","(850.0, 4.5, 0.1, 15, 450.0)"
91,"(500.0, 0.5, 1e-05, 1, 500.0)","(550.0, 1.0, 5e-05, 3, 400.0)","(600.0, 2.0, 0.0001, 5, 300.0)","(650.0, 3.0, 0.0005, 7, 200.0)","(700.0, 4.0, 0.001, 9, 100.0)"
92,"(500.0, 0.5, 1e-05, 15, 0.5)","(500.0, 4.5, 1e-05, 15, 5.0)","(600.0, 1.0, 0.0001, 10, 50.0)","(700.0, 2.0, 0.001, 7, 100.0)","(750.0, 3.0, 0.01, 5, 200.0)"
95,"(900.0, 5.0, 1.0, 15, 0.5)","(750.0, 1.0, 1e-05, 1, 100.0)","(700.0, 2.5, 0.01, 10, 50.0)","(600.0, 3.5, 0.1, 7, 100.0)","(800.0, 4.0, 0.001, 5, 200.0)"
97,"(500.0, 5.0, 1.0, 15, 0.5)","(600.0, 0.5, 1e-05, 1, 500.0)","(700.0, 3.0, 0.1, 12, 450.0)","(750.0, 2.5, 0.001, 7, 200.0)","(800.0, 1.5, 0.01, 5, 30.0)"
98,"(500.0, 0.5, 1e-05, 1, 0.5)","(550.0, 0.6, 0.0001, 2, 10.0)","(600.0, 1.0, 0.001, 5, 20.0)","(700.0, 2.0, 0.01, 10, 50.0)","(800.0, 3.0, 0.1, 15, 100.0)"
99,"(500.0, 5.0, 1.0, 15, 500.0)","(600.0, 0.5, 1e-05, 1, 0.5)","(700.0, 2.0, 0.001, 8, 200.0)","(800.0, 3.0, 0.0001, 10, 100.0)","(850.0, 1.0, 0.1, 12, 50.0)"
100,"(500.0, 0.5, 1e-05, 15, 5.0)","(600.0, 5.0, 0.0001, 1, 450.0)","(700.0, 2.5, 0.001, 7, 5.0)","(850.0, 3.0, 0.01, 12, 30.0)","(900.0, 4.0, 0.0001, 5, 15.0)"
103,"(500.0, 0.5, 1e-05, 15, 500.0)","(550.0, 4.5, 1.0, 1, 0.5)","(600.0, 1.0, 0.0001, 15, 450.0)","(650.0, 3.5, 0.01, 10, 200.0)","(700.0, 2.0, 0.001, 5, 300.0)"
104,"(850.0, 5.0, 1.0, 15, 450.0)","(500.0, 0.5, 0.0001, 1, 200.0)","(600.0, 1.2, 0.01, 12, 30.0)","(700.0, 3.5, 0.0001, 5, 15.0)","(750.0, 4.0, 0.1, 7, 5.0)"
105,"(500.0, 0.5, 1e-05, 15, 500.0)","(500.0, 1.0, 0.0001, 15, 450.0)","(550.0, 2.0, 0.001, 12, 400.0)","(600.0, 3.0, 0.01, 9, 350.0)","(650.0, 4.0, 0.1, 6, 300.0)"
106,"(900.0, 5.0, 1e-05, 15, 500.0)","(850.0, 4.0, 0.001, 10, 300.0)","(750.0, 2.5, 0.01, 5, 150.0)","(700.0, 1.5, 0.1, 7, 50.0)","(650.0, 1.0, 1.0, 3, 20.0)"
108,"(500.0, 0.5, 1e-05, 1, 0.5)","(600.0, 5.0, 1.0, 15, 500.0)","(700.0, 4.5, 0.0001, 14, 490.0)","(800.0, 2.0, 0.001, 10, 300.0)","(900.0, 3.5, 0.1, 5, 100.0)"
109,"(850.0, 4.0, 1e-05, 15, 5.0)","(750.0, 0.5, 0.0001, 1, 15.0)","(600.0, 1.2, 0.01, 12, 30.0)","(700.0, 3.5, 0.0001, 5, 200.0)","(500.0, 4.5, 1e-05, 15, 450.0)"
110,"(900.0, 0.5, 1.0, 1, 500.0)","(850.0, 0.6, 0.1, 2, 400.0)","(800.0, 1.0, 0.001, 3, 300.0)","(750.0, 1.5, 0.0001, 4, 200.0)","(700.0, 2.0, 1e-05, 5, 100.0)"
112,"(500.0, 5.0, 1e-05, 1, 500.0)","(500.0, 4.5, 1e-05, 15, 450.0)","(800.0, 3.0, 0.0001, 10, 300.0)","(850.0, 2.5, 0.001, 12, 150.0)","(750.0, 2.0, 0.01, 8, 50.0)"
113,"(500.0, 0.5, 1.0, 1, 0.5)","(550.0, 1.0, 1e-05, 2, 500.0)","(600.0, 5.0, 0.1, 3, 100.0)","(700.0, 3.0, 0.001, 10, 200.0)","(800.0, 4.0, 0.0001, 15, 300.0)"
115,"(500.0, 0.5, 1.0, 1, 5.0)","(550.0, 0.6, 1e-05, 2, 6.0)","(600.0, 2.0, 0.0001, 3, 7.0)","(650.0, 3.0, 0.001, 4, 8.0)","(700.0, 4.0, 0.01, 5, 9.0)"
117,"(850.0, 0.5, 1e-05, 1, 500.0)","(900.0, 4.5, 1.0, 15, 0.5)","(700.0, 1.0, 0.001, 5, 500.0)","(750.0, 3.5, 0.0001, 12, 30.0)","(800.0, 2.0, 0.01, 7, 15.0)"
118,"(800.0, 0.5, 1.0, 15, 0.5)","(750.0, 1.0, 1e-05, 10, 5.0)","(700.0, 2.0, 0.0001, 7, 10.0)","(650.0, 3.0, 0.001, 5, 50.0)","(600.0, 4.0, 0.01, 1, 100.0)"
120,"(500.0, 0.5, 1e-05, 15, 0.5)","(500.0, 4.5, 1.0, 1, 50.0)","(600.0, 0.5, 0.0001, 15, 200.0)","(650.0, 4.5, 0.001, 10, 300.0)","(700.0, 4.5, 0.01, 15, 450.0)"
122,"(500.0, 0.5, 1e-05, 1, 0.5)","(900.0, 0.6, 0.1, 2, 50.0)","(700.0, 1.0, 1.0, 3, 200.0)","(750.0, 3.0, 0.05, 5, 100.0)","(800.0, 4.0, 0.01, 10, 300.0)"
123,"(500.0, 0.5, 1e-05, 1, 0.5)","(500.0, 0.5, 1e-05, 1, 500.0)","(600.0, 5.0, 1.0, 15, 450.0)","(850.0, 4.5, 0.1, 15, 500.0)","(800.0, 4.5, 0.0001, 15, 500.0)"
124,"(500.0, 0.5, 1e-05, 15, 500.0)","(550.0, 1.0, 0.0001, 10, 400.0)","(600.0, 2.0, 0.001, 8, 300.0)","(650.0, 3.0, 0.01, 6, 200.0)","(700.0, 4.0, 0.1, 4, 100.0)"
126,"(500.0, 0.5, 1e-05, 15, 5.0)","(550.0, 0.6, 0.0001, 10, 10.0)","(600.0, 1.0, 0.001, 5, 20.0)","(650.0, 1.5, 0.01, 8, 30.0)","(700.0, 2.0, 0.1, 12, 50.0)"
128,"(500.0, 0.5, 1e-05, 15, 500.0)","(600.0, 4.5, 0.0001, 1, 250.0)","(700.0, 3.5, 0.001, 5, 100.0)","(800.0, 2.5, 0.01, 10, 50.0)","(850.0, 4.0, 0.1, 7, 5.0)"
131,"(500.0, 0.5, 1e-05, 15, 0.5)","(600.0, 0.6, 0.0001, 14, 50.0)","(700.0, 1.0, 0.001, 13, 100.0)","(800.0, 2.0, 0.01, 12, 200.0)","(900.0, 4.0, 0.1, 11, 450.0)"
132,"(890.0, 5.0, 1.0, 15, 500.0)","(750.0, 4.0, 0.01, 10, 50.0)","(600.0, 3.5, 0.0001, 7, 200.0)","(550.0, 2.0, 1e-05, 3, 5.0)","(700.0, 2.5, 0.001, 7, 30.0)"
133,"(500.0, 0.5, 1e-05, 1, 500.0)","(550.0, 1.0, 0.0001, 2, 300.0)","(600.0, 2.0, 0.001, 3, 200.0)","(650.0, 3.0, 0.01, 4, 100.0)","(700.0, 4.0, 0.1, 5, 50.0)"
137,"(500.0, 5.0, 1.0, 15, 500.0)","(600.0, 0.5, 1e-05, 1, 0.5)","(700.0, 4.5, 0.0001, 15, 100.0)","(800.0, 1.0, 0.01, 5, 300.0)","(900.0, 2.0, 0.1, 10, 450.0)"
138,"(500.0, 5.0, 1e-05, 15, 0.5)","(550.0, 4.5, 0.0001, 14, 20.0)","(600.0, 4.0, 0.001, 13, 50.0)","(700.0, 2.0, 0.01, 10, 150.0)","(750.0, 1.5, 0.1, 8, 400.0)"
139,"(500.0, 0.5, 1e-05, 1, 0.5)","(550.0, 1.0, 0.0001, 2, 10.0)","(600.0, 2.0, 0.001, 3, 50.0)","(650.0, 3.0, 0.01, 4, 250.0)","(700.0, 4.0, 0.1, 5, 450.0)"
140,"(900.0, 5.0, 0.1, 15, 5.0)","(500.0, 0.5, 1e-05, 1, 500.0)","(850.0, 4.0, 0.1, 12, 30.0)","(700.0, 1.2, 0.01, 7, 200.0)","(750.0, 3.5, 0.0001, 5, 450.0)"
141,"(500.0, 5.0, 1e-05, 15, 0.5)","(600.0, 4.5, 0.0001, 14, 10.0)","(700.0, 3.0, 0.01, 10, 100.0)","(800.0, 2.5, 0.1, 5, 200.0)","(750.0, 2.0, 0.001, 7, 50.0)"
142,"(500.0, 0.5, 1.0, 1, 500.0)","(550.0, 4.5, 1e-05, 15, 1.0)","(600.0, 1.0, 0.001, 10, 10.0)","(650.0, 2.0, 0.01, 5, 50.0)","(700.0, 3.0, 0.1, 7, 300.0)"
144,"(500.0, 0.5, 1e-05, 1, 500.0)","(550.0, 1.0, 0.0001, 2, 400.0)","(600.0, 1.5, 0.001, 3, 300.0)","(650.0, 2.0, 0.01, 4, 200.0)","(700.0, 3.0, 0.1, 5, 100.0)"
146,"(500.0, 0.5, 1e-05, 15, 500.0)","(550.0, 1.5, 0.0001, 14, 450.0)","(600.0, 2.5, 0.001, 13, 400.0)","(650.0, 3.5, 0.01, 12, 350.0)","(700.0, 4.5, 0.1, 11, 300.0)"
147,"(500.0, 0.5, 1e-05, 15, 500.0)","(600.0, 1.0, 0.0001, 12, 450.0)","(700.0, 2.0, 0.001, 7, 300.0)","(800.0, 3.0, 0.01, 5, 100.0)","(900.0, 4.0, 0.1, 3, 50.0)"
149,"(500.0, 0.5, 1e-05, 15, 450.0)","(550.0, 1.0, 0.0001, 14, 400.0)","(600.0, 2.0, 0.001, 13, 350.0)","(650.0, 3.0, 0.01, 12, 300.0)","(700.0, 4.0, 0.1, 11, 250.0)"
150,"(900.0, 5.0, 1e-05, 15, 500.0)","(850.0, 4.5, 0.0001, 15, 450.0)","(750.0, 3.5, 0.001, 12, 300.0)","(700.0, 2.5, 0.01, 10, 200.0)","(600.0, 1.5, 0.1, 5, 100.0)"
151,"(890.0, 5.0, 1e-05, 15, 0.5)","(880.0, 4.0, 0.0001, 7, 5.0)","(780.0, 1.0, 0.01, 12, 30.0)","(760.0, 3.0, 0.0001, 5, 15.0)","(750.0, 2.5, 0.005, 10, 200.0)"
152,"(900.0, 5.0, 1.0, 1, 500.0)","(800.0, 4.5, 0.1, 15, 450.0)","(750.0, 3.5, 0.01, 12, 30.0)","(700.0, 1.2, 0.001, 7, 5.0)","(600.0, 0.5, 0.0001, 1, 200.0)"
157,"(500.0, 0.5, 1.0, 15, 0.5)","(550.0, 1.0, 0.1, 12, 10.0)","(600.0, 2.5, 0.01, 7, 50.0)","(700.0, 3.0, 0.001, 5, 200.0)","(850.0, 5.0, 1e-05, 1, 500.0)"
160,"(900.0, 5.0, 1e-05, 15, 500.0)","(800.0, 3.5, 0.0001, 10, 400.0)","(750.0, 2.5, 0.001, 8, 300.0)","(700.0, 2.0, 0.01, 6, 200.0)","(650.0, 1.5, 0.1, 5, 100.0)"
162,"(500.0, 0.5, 1e-05, 1, 500.0)","(600.0, 1.5, 0.0001, 5, 400.0)","(700.0, 3.0, 0.001, 10, 200.0)","(800.0, 4.0, 0.01, 12, 100.0)","(750.0, 2.5, 0.1, 15, 50.0)"
164,"(500.0, 0.5, 1e-05, 1, 0.5)","(600.0, 5.0, 0.0001, 15, 100.0)","(700.0, 4.5, 0.001, 14, 200.0)","(800.0, 3.5, 0.01, 13, 300.0)","(900.0, 2.5, 0.1, 12, 400.0)"
166,"(500.0, 0.5, 1e-05, 1, 0.5)","(550.0, 1.0, 0.0001, 3, 50.0)","(600.0, 2.0, 0.001, 5, 100.0)","(650.0, 3.0, 0.01, 7, 200.0)","(700.0, 4.0, 0.1, 10, 300.0)"
169,"(500.0, 0.5, 1e-05, 1, 10.0)","(700.0, 2.5, 0.0001, 5, 50.0)","(750.0, 3.0, 0.001, 8, 100.0)","(800.0, 4.0, 0.01, 10, 250.0)","(850.0, 4.5, 0.1, 15, 450.0)"
